code,label,基本每股收益(元),每股净资产(元),每股经营活动产生的现金流量净额(元),主营业务收入(万元),主营业务利润(万元),营业利润(万元),投资收益(万元),营业外收支净额(万元),利润总额(万元),净利润(万元),净利润(扣除非经常性损益后)(万元),经营活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),总资产(万元),流动资产(万元),总负债(万元),流动负债(万元),股东权益不含少数股东权益(万元),净资产收益率加权(%),总资产利润率(%),主营业务利润率(%),总资产净利润率(%),成本费用利润率(%),营业利润率(%),主营业务成本率(%),销售净利率(%),净资产收益率(%),股本报酬率(%),净资产报酬率(%),资产报酬率(%),销售毛利率(%),三项费用比重(%),非主营比重(%),主营利润比重(%),流动比率(%),速动比率(%),现金比率(%),利息支付倍数(%),资产负债率(%),长期债务与营运资金比率(%),股东权益比率(%),长期负债比率(%),股东权益与固定资产比率(%),负债与所有者权益比率(%),长期资产与长期资金比率(%),资本化比率(%),固定资产净值率(%),资本固定化比率(%),产权比率(%),清算价值比率(%),固定资产比重(%),主营业务收入增长率(%),净利润增长率(%),净资产增长率(%),总资产增长率(%),应收账款周转率(次),应收账款周转天数(天),存货周转率(次),固定资产周转率(次),总资产周转率(次),存货周转天数(天),总资产周转天数(天),流动资产周转率(次),流动资产周转天数(天),经营现金净流量对销售收入比率(%),资产的经营现金流量回报率(%),经营现金净流量与净利润的比率(%),经营现金净流量对负债比率(%),现金流量比率(%)
600838,1,0.11,--,--,"10,978","4,443","2,762","7,142","1,635","4,398","4,398","2,762",-302,"-3,608","99,801","14,282","24,373","24,313","75,428",5.95,4.41,40.48,4.23,29.02,25.16,57.00,40.06,5.83,19.07,10.14,7.66,43.00,78.52,199.60,101.04,0.59,0.48,36.36,451.05,24.42,--,75.58,--,565.43,32.31,--,--,80.42,113.38,32.23,--,13.37,-21.94,-7.29,4.64,-7.89,3.36,107.06,2.22,0.78,0.11,162.46,"3,412.32",0.65,554.27,-0.03,-0.00,-0.07,-0.01,-1.24
600711,1,0.11,--,--,"334,796","36,506","15,583","1,218",392,"15,975","15,019","13,050","-46,643","34,485","594,357","176,255","226,610","78,837","360,661",4.98,2.53,10.90,3.05,5.00,4.65,88.68,4.49,4.16,21.05,8.57,5.30,11.32,6.39,10.08,228.53,2.24,2.13,76.86,394.74,38.13,0.04,61.87,0.59,579.68,61.62,112.61,0.95,79.37,113.69,22.40,383.23,10.67,64.31,43.45,47.47,51.67,13.70,26.27,49.43,6.04,0.68,7.28,530.27,2.80,128.50,-0.14,-0.08,-3.10,-0.21,-59.16
603918,1,0.58,4.02,1.03,"58,794","15,209","4,273",--,205,"4,478","3,811","3,636","6,816","1,592","59,410","52,314","32,860","32,860","26,549",15.31,6.41,25.87,6.62,8.27,7.27,72.67,6.48,14.35,--,22.63,10.11,27.33,17.98,4.59,339.64,1.59,1.39,57.26,775.48,55.31,--,44.69,--,460.19,123.77,--,--,72.42,26.73,123.77,--,9.71,1.29,2.43,11.90,6.48,2.69,133.80,5.18,9.92,1.02,69.56,352.70,1.17,308.85,0.12,0.11,1.79,0.21,20.74
002343,1,0.27,--,--,"161,321","30,146","8,069","1,763",200,"8,269","5,428","5,160","14,949","-7,420","174,700","106,817","35,643","35,189","119,523",4.57,3.94,18.69,3.87,5.40,5.00,80.82,4.26,4.54,316.51,45.09,35.89,19.18,13.66,23.74,364.56,3.04,2.42,49.61,"-8,682.31",20.40,--,79.60,--,242.29,25.63,--,--,50.69,48.82,25.31,--,32.85,10.58,-2.59,0.12,-3.50,7.62,47.23,5.61,2.87,0.91,64.17,396.91,1.46,246.00,0.09,0.09,2.17,0.42,42.48
300063,1,0.01,3.23,-0.40,"90,529","14,168",789,--,196,984,155,47,"-7,976","-7,566","120,001","65,734","47,213","45,902","64,880",0.24,0.30,15.65,0.33,1.10,0.87,83.88,0.39,0.24,41.33,11.41,6.92,16.12,14.27,19.88,"1,439.25",1.43,0.99,14.00,170.80,39.34,--,60.66,--,218.70,64.86,--,--,80.72,74.55,63.06,--,27.74,37.95,-77.32,2.96,25.44,3.77,95.49,4.02,3.11,0.84,89.52,428.83,1.46,246.34,-0.09,-0.07,-22.40,-0.17,-17.38
600279,1,0.22,--,--,"189,530","39,716","13,898",83,"4,591","18,489","9,558","6,791","25,451","43,773","717,886","155,445","290,380","186,821","328,078",3.21,2.16,20.95,2.56,10.53,7.33,78.82,8.16,2.91,228.80,24.72,14.72,21.18,13.62,25.28,214.80,0.83,0.76,46.01,281.86,40.45,-2.14,59.55,9.36,120.45,67.92,113.70,13.58,79.73,131.56,59.41,256.54,49.44,49.26,23.28,62.22,46.85,11.92,30.21,13.69,0.56,0.31,26.30,"1,146.13",1.53,234.97,0.13,0.04,1.65,0.09,13.62
000557,-1,0.00,--,--,839,451,40,--,136,177,117,-19,-288,-936,"27,595","24,564","13,489","13,376","14,056",0.21,0.38,53.82,0.37,30.93,4.79,38.33,12.62,0.83,0.46,2.22,1.13,61.67,21.89,77.25,255.62,1.84,1.67,160.93,69.75,48.88,--,51.12,--,699.86,95.62,--,--,90.69,21.49,94.82,--,7.30,-21.58,-70.04,0.76,-5.80,19.24,18.71,0.14,0.75,0.03,"2,521.01","12,203.39",0.03,"11,250.00",-0.34,-0.01,-2.72,-0.02,-2.15
000563,1,0.37,--,--,"115,097","60,770","60,770","52,500",47,"60,817","45,395","11,568","35,631","171,635","874,386","315,678","108,972","98,757","765,414",10.35,5.19,--,6.98,161.83,--,--,--,5.93,30.94,6.25,5.47,52.80,--,86.40,-11.41,3.20,3.20,220.11,--,12.46,--,87.54,--,"9,304.89",14.24,--,--,77.27,72.99,12.90,--,0.94,--,29.47,100.69,105.39,--,--,--,--,--,--,--,--,--,--,0.04,0.78,0.33,36.08
603369,1,1.36,--,--,"239,974","145,356","84,831",73,511,"85,342","64,562","64,058","47,326","14,286","450,074","353,312","94,286","94,286","354,434",22.54,14.27,60.57,16.32,55.00,35.35,29.41,26.76,18.22,165.69,23.37,18.47,70.59,25.23,0.68,170.32,3.75,2.42,145.25,"-3,013.18",20.95,--,79.05,--,600.59,26.50,--,--,75.78,27.20,26.50,--,13.16,-4.60,-5.59,54.84,33.70,71.97,5.00,0.59,4.03,0.61,612.45,590.07,0.81,446.59,0.20,0.11,0.74,0.50,50.19
600569,1,0.01,--,--,"2,685,176","203,313","2,743",-23,"1,209","3,952","2,853",544,"491,148","-5,613","3,214,657","1,282,583","2,451,516","2,098,787","722,136",0.40,0.10,7.57,0.10,0.15,0.10,92.07,0.12,0.40,481.82,151.13,35.88,7.93,7.52,30.02,"5,144.61",0.61,0.31,23.05,103.86,76.26,-0.02,23.74,0.56,56.09,321.24,247.34,2.30,54.19,253.17,277.38,142.90,42.32,2.73,-16.46,3.30,1.02,103.99,3.46,3.61,1.90,0.84,99.83,428.83,2.15,167.35,0.18,0.15,146.95,0.20,23.40
