code,label,营业收入(万元),营业成本(万元),营业利润(万元),利润总额(万元),所得税费用(万元),净利润(万元),基本每股收益,货币资金(万元),应收账款(万元),存货(万元),流动资产合计(万元),固定资产净额(万元),资产总计(万元),流动负债合计(万元),非流动负债合计(万元),负债合计(万元),所有者权益(或股东权益)合计(万元),期初现金及现金等价物余额(万元),经营活动产生的现金流量净额(万元),投资活动产生的现金流量净额(万元),筹资活动产生的现金流量净额(万元),现金及现金等价物净增加额(万元),期末现金及现金等价物余额(万元)
002145,1,"173,442","130,137","5,891","6,156","2,701","3,455",0.07,"48,948","30,879","39,716","144,171","141,695","388,509","218,948","11,198","230,146","158,364","6,374","-11,022","-22,889","50,237","16,211","22,585"
002098,1,"104,951","73,478","8,177","9,547","1,727","7,820",0.50,"10,858","23,377","23,048","60,173","57,723","137,728","68,462",565,"69,027","68,701","10,533","15,396","-7,670","-7,799",7,"10,540"
002329,1,"113,030","78,196","9,372","10,880","1,892","8,987",0.35,"23,783","27,869","16,391","84,782","50,017","227,838","57,338","2,132","59,470","168,368","14,776","12,060","-31,649","27,100","7,511","22,287"
603108,1,"135,850","99,904","9,590","10,309","2,798","7,511",1.07,"13,697","37,346","24,073","79,901","21,926","108,489","55,564","5,363","60,927","47,563","18,145","3,611","-12,520","3,817","-5,094","13,052"
300014,1,"134,893","97,213","13,463","18,091","1,491","16,601",0.38,"46,949","39,025","23,323","127,980","39,360","248,796","54,827","16,604","71,431","177,365","11,031","5,700","-39,472","67,669","34,602","45,633"
300386,1,"108,043","64,368","24,792","28,591","2,172","26,419",3.11,"96,852","8,339","23,672","153,945","2,051","163,290","19,258","2,545","21,803","141,487","33,391","27,525","-27,154","62,425","62,795","96,186"
002428,1,"55,591","33,344","12,048","14,974","2,445","12,528",0.19,"17,790","12,079","23,984","62,157","76,568","203,833","38,645","2,647","41,292","162,541","38,705","8,043","-31,888","3,023","-20,915","17,790"
600847,1,"23,601","20,175",246,275,50,225,0.01,"34,067","6,868","5,962","55,084","19,799","89,336","13,932","4,102","18,034","71,303","7,211","-4,398","6,309","4,141","6,052","13,263"
000022,1,"180,477","98,389","67,187","67,254","14,275","52,979",0.65,"46,864","20,364","1,909","75,525","331,984","693,582","96,923","109,100","206,022","487,560","71,554","81,832","-6,313","-100,278","-24,690","46,864"
300275,1,"27,481","14,067","1,420","3,020",246,"2,774",0.18,"14,054","34,971","6,219","60,323","11,327","81,072","9,576",575,"10,151","70,921","27,263","-4,957","-7,146","-1,332","-13,435","13,828"
000899,1,"266,904","190,371","49,934","50,434","11,653","38,782",0.60,"23,483","31,932","14,103","83,126","401,937","595,092","225,801","157,936","383,737","211,355","32,851","78,227","-2,611","-84,985","-9,369","23,483"
002323,1,"39,127","32,040",864,"1,501",246,"1,255",0.12,"6,818","39,115","4,848","65,517","24,590","97,585","11,212","1,083","12,295","85,290","13,184",-292,"-4,381","-1,705","-6,378","6,806"
002753,1,"84,836","66,822","6,903","7,069","1,107","5,961",0.81,"4,195","14,370","15,120","45,907","27,948","81,941","19,274","11,564","30,838","51,104","5,966","1,812","-3,014","-4,304","-5,506",459
600609,1,"514,655","430,596","1,420","3,953","5,008","-1,056",-0.13,"525,329","87,770","88,610","756,757","76,946","929,007","824,341","38,582","862,922","66,085","190,389","49,233","-33,257","89,393","105,212","295,601"
002563,1,"814,713","520,914","147,412","150,339","41,535","108,804",1.63,"404,671","107,652","103,429","766,996","150,516","1,037,282","157,534","29,181","186,715","850,566","492,120","76,199","-113,167","-66,486","-103,454","388,666"
601688,1,--,--,"584,952","591,482","137,503","453,979",0.80,"8,986,494","36,265",--,--,"125,836","27,222,604",--,--,"23,028,163","4,194,441","4,340,308","3,040,293","232,476","2,645,963","5,918,719","10,259,028"
002241,1,"1,269,899","921,554","192,411","200,580","32,149","168,431",1.09,"475,625","415,294","161,284","1,077,313","512,058","1,775,774","562,919","360,654","923,574","852,200","185,188","116,487","-168,034","278,693","225,004","410,191"
002366,1,"57,347","47,433","3,604","3,883",358,"3,525",0.26,"33,654","10,066","8,808","73,159","15,642","91,896","18,304",275,"18,580","73,316","26,006","1,980","5,881","-6,226","1,635","27,641"
600231,1,"1,437,296","1,388,343","-94,696","-92,592","-21,333","-71,258",-0.89,"230,244","44,694","192,901","521,843","727,880","1,432,158","973,849","149,724","1,123,574","308,584","203,636","138,817","-12,941","-99,711","26,608","230,244"
002524,1,"62,631","53,533","-7,272","-6,401",426,"-6,826",-0.17,"19,477","26,560","13,366","66,246","82,976","203,707","70,923","29,034","99,958","103,749","46,524","9,528","-25,931","-14,152","-30,556","15,968"
300080,1,"225,903","176,268","1,735","3,337",496,"2,840",0.09,"62,258","69,316","125,586","324,302","138,338","555,459","228,569","3,476","232,046","323,413","12,513","20,512","-4,128","-1,942","14,456","26,969"
000541,1,"306,864","224,705","37,019","31,913","5,246","26,667",0.27,"98,972","32,295","62,579","231,004","46,327","373,670","55,429","8,791","64,220","309,450","89,768","30,564","-5,207","-16,069","9,203","98,970"
002481,1,"106,518","80,015","16,575","17,068","2,189","14,879",0.34,"178,323","9,517","32,730","250,871","76,214","377,925","126,474","12,150","138,625","239,301","13,691","-7,477","-37,122","167,629","123,030","136,721"
002268,1,"123,650","76,708","9,552","14,248","1,740","12,508",0.55,"75,688","59,994","15,612","159,956","27,970","192,990","58,472","6,139","64,611","128,379","60,352","4,182","-7,196","17,173","14,159","74,511"
000568,1,"535,344","280,447","119,235","121,752","24,146","97,607",0.63,"470,961",471,"282,699","991,959","108,649","1,317,082","333,345","4,404","337,749","979,333","534,943","130,711","-14,328","-182,460","-66,174","468,770"
600770,1,"71,458","42,774","18,423","20,500","6,392","14,108",0.03,"127,564","28,633","27,806","230,159","159,443","656,881","106,012","98,697","204,709","452,172","78,732","41,304","-55,573","66,214","48,823","127,555"
002201,1,"74,382","58,967",485,"1,131",58,"1,073",0.05,"20,186","24,875","14,638","70,658","61,025","164,473","71,981","49,557","121,538","42,935","10,201","1,927","-23,777","24,118","2,436","12,637"
002207,1,"41,083","35,211","1,197","1,207",217,990,0.04,"33,275","25,314","1,700","69,853","24,905","102,363","43,493",0,"43,493","58,870","37,455","-10,292","-8,630","11,782","-7,321","30,134"
002442,1,"243,832","212,122",-653,870,-630,"1,500",0.03,"29,049","47,257","45,837","157,424","112,575","316,095","187,957","14,397","202,354","113,741","44,665","29,112","-21,260","-35,063","-27,216","17,449"
